,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,conservation status,ecomorphological guild,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,geographic distribution includes,habitat,population trend,biogeographic realm,body mass,foraging habitat,life span,trophic guild,weight,host of,eats,ecoregion,type specimen repository,body shape,diet includes,mating system,native range includes,parental care,social system,preys on,number of public records in bold,behavioral circadian rhythm,bill length,genome size,tarsus length,temperature at range midpoint latitude,basal metabolic rate,litters per year,prenatal development duration,body temperature,parasitized by,middle toe length,has ectoparasite,is vector for,growth rate,onset of fertility,has endoparasite,visits flowers of,motility,sensory system,is eaten by,preyed upon by,used for,tarsometatarsus + middle toe length,body length,pathogen of,has host,initial mortality rate,mortality rate doubling time,symbiont of,clutch/brood/litter size,egg mass,has pathogen,harvested in,mutualistic with,mineralized tissue contains,reproduction,standard length,water depth
0,Abyssinian waxbill,Animalia,Chordata,Aves,https://eol.org/pages/45515680,Estrilda ochrogaster (Abyssinian Waxbill) is a species of birds in the family Estrildid finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Uganda,,,Afrotropics,,,,,,,,Ethiopian Montane Moorlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian wheatear,Animalia,Chordata,Aves,https://eol.org/pages/45514819,Oenanthe lugubris (Abyssinian Wheatear) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,otoliths,,,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Eritrea,,,,,,,,,,,,NHMUK,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/45514646,Zosterops abyssinicus (Abyssinian White Eye) is a species of birds in the family white-eyes. They are found in the palearctic and Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Zambia,wadi,,the palearctic,9 g,,,,,,,Southwestern Arabian Foothills Savanna,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1177597,Dendropicos abyssinicus (Abyssinian Woodpecker) is a species of birds in the family woodpeckers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,bipedal movement,apatite,corneal eyes,Ethiopia,"savanna,terrestrial",Decreasing,Afrotropics,26 g,,,,,,,Ethiopian Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acacia pied barbet,Animalia,Chordata,Aves,https://eol.org/pages/1177719,Tricholaema leucomelas (Acacia Pied Barbet) is a species of birds in the family African barbets. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,United States,grassland,Increasing,Afrotropics,,,,,,,,,NHMUK,,,,,,,,,,17.9 mm,1.548 pg,19.6 mm,13.61 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acacia tit,Animalia,Chordata,Aves,https://eol.org/pages/45515280,Melaniparus thruppi (Acacia Tit) is a species of birds in the family Paridae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Ethiopia,"savanna,freshwater habitat",Stable,,12 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acadian flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45510899,Empidonax virescens (Acadian Flycatcher) is a species of birds in the family tyrant flycatchers. They are listed as endangered by COSEWIC. They are native to The Nearctic and The Neotropics. They are diurnal carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,,,,,,flight,,,Illinois,,Stable,The Neotropics,,,,insectivore,,,,,,bilaterally symmetric,arthropods,polygynous,The Nearctic,,,,,,,,,,0.1795 watts,1 /year,13 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Aceh bulbul,Animalia,Chordata,Aves,https://eol.org/pages/47043481,Pycnonotus snouckaerti (Aceh Bulbul) is a species of birds in the family bulbuls. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,,mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acorn woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45509727,"Melanerpes formicivorus (Acorn Woodpecker) is a species of birds in the family woodpeckers. They are native to United States, The Neotropics, and The Nearctic. They are diurnal. They have parental care (cooperative breeding). They rely on flight to move around.",,,,,,,,,United States,,Increasing,The Neotropics,,terrestrial,,granivore,,,,,,bilaterally symmetric,,,United States,,,,,,,1.686 pg,,,0.737 watts,2 /year,14 days,106.6 degrees fahrenheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acre antshrike,Animalia,Chordata,Aves,https://eol.org/pages/45512645,Thamnophilus divisorius (Acre Antshrike) is a species of birds in the family typical antbirds. They rely on flight to move around.,otoliths,,,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Peru,terrestrial,Stable,,23 g,,,,,,,,Museu Paraense Emilio Goeldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acre todytyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513100,Hemitriccus cohnhafti (Acre Tody Tyrant) is a species of birds in the family tyrant flycatchers. They rely on flight to move around.,otoliths,,,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Peru,subtropical,,,,,,,,,,,Museu Paraense Emilio Goeldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Adamawa turtle dove,Animalia,Chordata,Aves,https://eol.org/pages/1049731,Streptopelia hypopyrrha (Adamawa Turtle Dove) is a species of birds in the family Columbidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,bipedal movement,apatite,corneal eyes,Cameroon,terrestrial,Stable,Afrotropics,181 g,,,,,,Ficus sycomorus L. (sycamore fig),West Sudanian Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Adelaides warbler,Animalia,Chordata,Aves,https://eol.org/pages/1051257,Setophaga adelaidae (Adelaide's Warbler) is a species of birds in the family New World warblers. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Puerto Rico,"mountain range,terrestrial",Stable,,,,,,,,Cerambycidae (long-horned beetles),,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Admiralty cicadabird,Animalia,Chordata,Aves,https://eol.org/pages/49114151,Edolisoma admiralitatis (Admiralty Cicadabird) is a species of birds in the family cuckoo-shrikes. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,South Pacific,tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Adélie penguin,Animalia,Chordata,Aves,https://eol.org/pages/45512077,"Pygoscelis adeliae (Adelie Penguin) is a species of birds in the family penguins. They are native to Antarctica. They are diurnal carnivores. They have parental care (paternal care, pair provides care, and female provides care). They rely on swimming, flight, and lift powered swimming to move around.",,,nectonic,,,,,,New Zealand,,,,,marine pelagic,,invertivore,,,,,,bilaterally symmetric,crustaceans,monogamous,Antarctica,,group living,,,,33.4 mm,,,-8.94 degrees celsius,,,,,,71.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Afep pigeon,Animalia,Chordata,Aves,https://eol.org/pages/1049698,Columba unicincta (Afep Pigeon) is a species of birds in the family Columbidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,Democratic Republic Of The Congo,"tropical,terrestrial",Decreasing,Afrotropics,360 g,,,,,,,Northern Congolian Forest-Savanna Mosaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Afghan babbler,Animalia,Chordata,Aves,https://eol.org/pages/52571201,Argya huttoni (Afghan Babbler) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Afghan snowfinch,Animalia,Chordata,Aves,https://eol.org/pages/1052130,Pyrgilauda theresae (Afghan Snowfinch) is a species of birds in the family Old World sparrows. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Afghanistan,"mountain,terrestrial",Stable,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African barred owlet,Animalia,Chordata,Aves,https://eol.org/pages/1178284,Glaucidium capense (African Barred Owlet) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in Afrotropics. They are nocturnal. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,-15 dB,flight,apatite,corneal eyes,Democratic Republic Of The Congo,freshwater habitat,Decreasing,Afrotropics,392 g,,,,,,,,,,,,,,,,,nocturnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African black duck,Animalia,Chordata,Aves,https://eol.org/pages/914434,Anas sparsa (African Black Duck) is a species of birds in the family Anatidae. They are found in the palearctic and Afrotropics. They rely on flight and drag powered swimming to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,United States,"river,marine",Decreasing,the palearctic,1156 g,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African black swift,Animalia,Chordata,Aves,https://eol.org/pages/1048572,Apus barbatus (African Black Swift) is a species of birds in the family swifts. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,South Atlantic,"mountain,terrestrial",Decreasing,Afrotropics,50 g,,,,,,,"Drakensberg Montane Grasslands, Woodlands And Forests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African blue flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514301,Elminia longicauda (African Blue Flycatcher) is a species of birds in the family Stenostiridae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,,flight,apatite,corneal eyes,Zambia,"savanna,terrestrial",Stable,Afrotropics,10.9 g,,,,,,Antiaris toxicaria (Pers.) Leschen. (False Mvule),,Staatliches Museum fuer Naturkund Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African blue tit,Animalia,Chordata,Aves,https://eol.org/pages/45515264,Cyanistes teneriffae (African Blue Tit) is a species of birds in the family Paridae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Algeria,temperate,,,,,,,,,Asparagus plocamoides Webb ex Svent.,,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African broadbill,Animalia,Chordata,Aves,https://eol.org/pages/45515110,Smithornis capensis (African Broadbill) is a species of birds in the family broadbills. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Mozambique Channel,terrestrial,Decreasing,Afrotropics,28.5 g,,,,,,,Guinean Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African citril,Animalia,Chordata,Aves,https://eol.org/pages/45515713,Crithagra citrinelloides (African Citril) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Ethiopia,"scrubland,terrestrial",Stable,,,,,,,,Bidens pilosa L. (hairy beggarticks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African collared dove,Animalia,Chordata,Aves,https://eol.org/pages/45509393,Streptopelia roseogrisea (African Collared Dove) is a species of birds in the family Columbidae. They are native to Ethiopia. They are herbivores. They have parental care (paternal care and female provides care). They rely on flight to move around.,,,,,,flight,,,United States,,Stable,the palearctic,,,,granivore,,,,,NHMUK,bilaterally symmetric,mollusks,monogamous,Ethiopia,no parental care,group living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African crake,Animalia,Chordata,Aves,https://eol.org/pages/45513913,Crex egregia (African Crake) is a species of birds in the family rails. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,South Atlantic,"desert,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rallicola,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/1047920,Aviceda cuculoides (African Cuckoo Falcon) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are associated with freshwater habitat. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,20 dB,flight,apatite,corneal eyes,Mozambique,"freshwater,freshwater habitat",Stable,Afrotropics,302 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African cuckoohawk,Animalia,Chordata,Aves,https://eol.org/pages/1047920,Aviceda cuculoides (African Cuckoo Falcon) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are associated with freshwater habitat. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,20 dB,flight,apatite,corneal eyes,Mozambique,"freshwater,freshwater habitat",Stable,Afrotropics,302 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African darter,Animalia,Chordata,Aves,https://eol.org/pages/45513859,Anhinga rufa (African Darter) is a species of birds in the family Anhingidae. They are found in the palearctic and Afrotropics. They rely on flight to move around.,tympanic middle ear,,nectonic,,20 dB,flight,apatite,corneal eyes,United States,"lake,marine",Decreasing,the palearctic,,,,,,,Parauchenoglanis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African desert warbler,Animalia,Chordata,Aves,https://eol.org/pages/45515473,Sylvia deserti (African Desert Warbler) is a species of birds in the family Sylviidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,North Atlantic,desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African dusky flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514726,Muscicapa adusta (African Dusky Flycatcher) is a species of birds in the family Old World flycatchers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,South Atlantic,"river,terrestrial",Decreasing,Afrotropics,11.1 g,,,,,,Antiaris toxicaria (Pers.) Leschen. (False Mvule),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African dwarf kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/1064933,Ispidina lecontei (African Dwarf Kingfisher) is a species of birds in the family Alcedinidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,bipedal movement,apatite,corneal eyes,Nigeria,"coastal,terrestrial",Stable,Afrotropics,10.5 g,,,,,,,Nigerian Lowland Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African emerald cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/1047903,Chrysococcyx cupreus (African Emerald Cuckoo) is a species of birds in the family Cuculidae. They are found in Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,Mozambique,"coastal,terrestrial",Stable,Afrotropics,46 g,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African finfoot,Animalia,Chordata,Aves,https://eol.org/pages/45515092,Podica senegalensis (African Finfoot) is a species of birds in the family sungrebes. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,nectonic,,20 dB,flight,apatite,corneal eyes,Tanzania,"river,freshwater habitat",Decreasing,Afrotropics,879 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African firefinch,Animalia,Chordata,Aves,https://eol.org/pages/45515664,Lagonosticta rubricata (African Firefinch) is a species of birds in the family Estrildid finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Mozambique,river,,Afrotropics,11.7 g,,,,,,,Western Guinean Lowland Forests,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African fish eagle,Animalia,Chordata,Aves,https://eol.org/pages/914530,"Haliaeetus vocifer (African Fish Eagle) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are associated with freshwater habitat. They are native to Ethiopia. They are diurnal carnivores. They have parental care (paternal care, female provides care, and pair provides care). They rely on flight to move around.",,,,,,flight,,,United States,desert,Stable,Afrotropics,,freshwater,,vertivore,,,,,,bilaterally symmetric,reptiles,monogamous,Ethiopia,provisioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African golden oriole,Animalia,Chordata,Aves,https://eol.org/pages/45514271,Oriolus auratus (African Golden Oriole) is a species of birds in the family orioles. They are found in Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,Mozambique,"desert,terrestrial",Decreasing,Afrotropics,72 g,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African goshawk,Animalia,Chordata,Aves,https://eol.org/pages/914060,Accipiter tachiro (African Goshawk) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,20 dB,flight,apatite,corneal eyes,Mozambique,freshwater habitat,Decreasing,Afrotropics,381 g,,,,,,,,,,,,,,,Streptopelia semitorquata (Rüppell 1837) (Red-eyed Dove),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African grass owl,Animalia,Chordata,Aves,https://eol.org/pages/45514014,"Tyto capensis (African Grass Owl) is a species of birds in the family Tytonidae. They are listed in cites appendix ii. They are native to Ethiopia. They are solitary, nocturnal carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.",,,,,,flight,,,Kenya,coastal,Decreasing,the palearctic,,,,vertivore,,,,,,bilaterally symmetric,mammals,monogamous,Ethiopia,protection,solitary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
